name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2020,Petrol,26118,2,Manual,Hatchback,Hi-Multan Nagar,False,Badhara,Haryana,12188,-11100,477599,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-gurgaon-10558172795,2022-10-23
Tata Harrier,Tata,Harrier,Faridabad,2022,Diesel,7637,1,Automatic,SUV,Faridabad,False,Faridabad,Haryana,9688,73700,2336699,https://www.cars24.com/buy-used-tata-harrier-2022-cars-faridabad-11035171775,2022-10-30
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Gurgaon,2015,Petrol + Cng,94637,1,Manual,Hatchback,Hi-Multan Nagar,False,New Delhi,Delhi,9688,12700,335899,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-gurgaon-10035993769,2022-11-15
Hyundai Creta,Hyundai,Creta,Patna,2015,Petrol,52045,1,Manual,SUV,Hi-Central Patna,False,Patna,Bihar,9688,0,750799,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-patna-14499277778,2022-11-15
Renault Duster,Renault,Duster,Pune,2019,Petrol,38292,1,Manual,SUV,Hi-Pune,False,Pune,Maharashtra,12188,-20600,780199,https://www.cars24.com/buy-used-renault-duster-2019-cars-pune-10680775796,2022-11-12
Hyundai i10,Hyundai,I10,Jaipur,2016,Petrol,26540,1,Manual,Hatchback,Hi-Chitrakoot,False,Jaipur,Rajasthan,13898,5000,416999,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-jaipur-10733997764,2022-10-05
Mahindra Scorpio,Mahindra,Scorpio,Patna,2015,Diesel,71716,1,Manual,SUV,Hi-Central Patna,False,Gaya,Bihar,19407,62550,934449,https://www.cars24.com/buy-used-mahindra-scorpio-2015-cars-patna-14475894747,2022-09-18
Tata Tiago,Tata,Tiago,Indore,2017,Petrol,47440,2,Manual,Hatchback,Bhopal-Pns,False,Bhopal,Madhya Pradesh,9688,-4500,453599,https://www.cars24.com/buy-used-tata-tiago-2017-cars-indore-14649291765,2022-10-02
Honda Accord,Honda,Accord,Mumbai,2012,Petrol,50322,2,Manual,Sedan,Hi-Worli,False,Mumbai,Maharashtra,19407,45800,474399,https://www.cars24.com/buy-used-honda-accord-2012-cars-mumbai-10398095732,2022-08-13
Maruti Swift Dzire,Maruti,Swift Dzire,Chandigarh,2013,Diesel,72886,2,Manual,Sedan,Hi-Mohali Store,False,Chandigarh,Chandigarh,9688,-4200,396599,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-chandigarh-10932397767,2022-10-12
Volkswagen Polo,Volkswagen,Polo,Pune,2015,Diesel,79802,1,Manual,Hatchback,Pune-Pns,False,Pune,Maharashtra,13898,0,644399,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-pune-10602995763,2022-11-23
Hyundai Grand i10,Hyundai,Grand I10,Lucknow,2016,Petrol,37707,2,Manual,Hatchback,Hi-Hazratganj,False,Lucknow,Uttar Pradesh,13898,29500,440199,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-lucknow-13291492716,2022-06-22
Maruti Ertiga,Maruti,Ertiga,Faridabad,2019,Petrol,37215,1,Manual,SUV,Hi-North Delhi,False,New Delhi,Delhi,13898,-2200,882899,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-faridabad-10054174794,2022-10-25
Hyundai Santro Xing,Hyundai,Santro Xing,New Delhi,2013,Petrol,82345,1,Manual,Hatchback,Hi-Multan Nagar,False,Delhi West,Delhi,9688,4100,215599,https://www.cars24.com/buy-used-hyundai-santro-xing-2013-cars-new-delhi-10073396763,2022-11-22
Skoda Rapid,Skoda,Rapid,Pune,2012,Diesel,51163,1,Manual,Sedan,Hi-Andheri East,False,Mumbai West,Maharashtra,9688,8500,337399,https://www.cars24.com/buy-used-skoda-rapid-2012-cars-pune-10345991721,2022-09-23
Hyundai Verna,Hyundai,Verna,Bangalore,2014,Petrol,33330,1,Manual,Sedan,Hi-East 2 Bengaluru,False,Bengaluru,Karnataka,9688,-10000,637599,https://www.cars24.com/buy-used-hyundai-verna-2014-cars-bangalore-10260194768,2022-10-21
Maruti IGNIS,Maruti,Ignis,Coimbatore,2018,Petrol,49519,1,Manual,Hatchback,Chennai-Pns,False,Chennai,Tamil Nadu,13898,28300,482999,https://www.cars24.com/buy-used-maruti-ignis-2018-cars-coimbatore-11304099717,2022-06-19
Skoda Rapid,Skoda,Rapid,Bangalore,2014,Diesel,51091,1,Manual,Sedan,Hi-South 3 Bengaluru,False,Bangalore South,Karnataka,9688,-7900,517499,https://www.cars24.com/buy-used-skoda-rapid-2014-cars-bangalore-10274391702,2022-11-05
Hyundai Elite i20,Hyundai,Elite I20,Jaipur,2018,Diesel,96745,3,Manual,Hatchback,Hi-Chitrakoot,False,Jaipur,Rajasthan,13898,5000,698999,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-jaipur-10778070794,2022-11-15
Tata Tiago,Tata,Tiago,Gurgaon,2019,Petrol,40054,1,Manual,Hatchback,Hi-Sector 52 Gurgaon,False,Gurgaon,Haryana,9688,5000,482199,https://www.cars24.com/buy-used-tata-tiago-2019-cars-gurgaon-10197891766,2022-11-25
Tata NEXON,Tata,Nexon,New Delhi,2019,Petrol,19546,1,Manual,SUV,Hi-South West Delhi,False,New Delhi,Delhi,9688,0,877999,https://www.cars24.com/buy-used-tata-nexon-2019-cars-new-delhi-10091575752,2022-11-25
Hyundai i10,Hyundai,I10,Vadodara,2010,Petrol,47482,1,Manual,Hatchback,Op-Road,False,Vadodara,Gujarat,9688,0,224299,https://www.cars24.com/buy-used-hyundai-i10-2010-cars-vadodara-13654275778,2022-11-25
Nissan MAGNITE,Nissan,Magnite,Surat,2021,Petrol,16882,2,,,Hi-Adajan,False,Surat,Gujarat,9688,-33600,930999,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-surat-13541670776,2022-11-17
Maruti Swift,Maruti,Swift,New Delhi,2017,Petrol,55009,1,Manual,Hatchback,New Delhi-Pns,False,Delhi,Delhi,9688,-6400,537999,https://www.cars24.com/buy-used-maruti-swift-2017-cars-new-delhi-10058273713,2022-11-24
Volkswagen Polo,Volkswagen,Polo,New Delhi,2015,Petrol,39526,1,Manual,Hatchback,Hi-Uttam Nagar Delhi,False,Delhi,Delhi,9688,-21600,524199,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-new-delhi-10092599721,2022-11-12
Mahindra Kuv100,Mahindra,Kuv100,New Delhi,2017,Petrol,51036,1,Manual,SUV,Hi-Dakshin Delhi,False,Delhi,Delhi,9688,-9300,353999,https://www.cars24.com/buy-used-mahindra-kuv100-2017-cars-new-delhi-10059076719,2022-11-22
Hyundai Elite i20,Hyundai,Elite I20,Ahmedabad,2018,Petrol + Cng,51772,1,Manual,Hatchback,Hi-West-Amd,False,Ahmedabad,Gujarat,9688,0,575299,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-ahmedabad-11434673770,2022-11-23
Renault Kwid,Renault,Kwid,New Delhi,2020,Petrol,24991,1,Manual,Hatchback,Dwarka Sector 6,False,New Delhi,Delhi,12542,0,346999,https://www.cars24.com/buy-used-renault-kwid-2020-cars-new-delhi-10018375751,2022-11-25
Renault Kwid,Renault,Kwid,New Delhi,2015,Petrol,48700,2,Manual,Hatchback,New Delhi-Pns,False,Delhi,Delhi,12542,0,217699,https://www.cars24.com/buy-used-renault-kwid-2015-cars-new-delhi-10078174798,2022-11-24
Tata NEXON,Tata,Nexon,Mumbai,2019,Diesel,16576,2,Manual,SUV,Hi-Worli,False,Mumbai East,Maharashtra,13898,0,879499,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-10345278715,2022-11-24
Hyundai Eon,Hyundai,Eon,New Delhi,2014,Petrol,77286,1,Manual,Hatchback,New Delhi-Pns,False,Ghaziabad,Uttar Pradesh,12542,0,229499,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-new-delhi-10088279716,2022-11-24
Hyundai Creta,Hyundai,Creta,Hyderabad,2021,Diesel,18959,1,Manual,SUV,Hyderabad-Pns,False,Hyderabad,Telangana,13898,45900,1689499,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-hyderabad-10466475794,2022-10-29
Hyundai i10,Hyundai,I10,Jaipur,2014,Petrol,32716,2,Manual,Hatchback,Jaipur-Pns,False,Jaipur,Rajasthan,13898,4300,313699,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-jaipur-10770572779,2022-11-08
Renault Kwid,Renault,Kwid,Pune,2017,Petrol,37868,1,Manual,Hatchback,Hi-Pune,False,Pune,Maharashtra,9688,0,347799,https://www.cars24.com/buy-used-renault-kwid-2017-cars-pune-10670376777,2022-11-24
Maruti New  Wagon-R,Maruti,New  Wagon-R,Gurgaon,2020,Petrol + Cng,66868,2,Manual,Hatchback,Hi-Gurgaon New,False,New Delhi,Delhi,9688,0,568599,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-gurgaon-10124077711,2022-11-24
Honda Jazz,Honda,Jazz,Surat,2016,Petrol,35030,1,Automatic,Hatchback,Surat-Pns,False,Surat,Gujarat,13898,-12300,591799,https://www.cars24.com/buy-used-honda-jazz-2016-cars-surat-13542272771,2022-11-22
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,Mumbai,2016,Petrol + Cng,80696,2,Manual,Hatchback,Mumbai-Pns,False,Mumbai,Maharashtra,12542,0,371299,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-mumbai-10307675771,2022-11-24
